City_ID,City,Country,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Current Description
0,Punta Arenas,CL,-53.15,-70.9167,44.62,87,100,6.91,overcast clouds
1,Kapaa,US,22.0752,-159.319,74.12,95,40,10.36,scattered clouds
2,Mataura,NZ,-46.1927,168.8643,46.47,91,100,13.42,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,47.86,57,40,5.75,scattered clouds
4,Paamiut,GL,61.994,-49.6678,35.19,87,87,9.22,overcast clouds
5,Cabo San Lucas,MX,22.8909,-109.9124,85.6,57,2,13.85,clear sky
6,Rikitea,PF,-23.1203,-134.9692,70.59,87,100,1.48,moderate rain
7,Norman Wells,CA,65.282,-126.8329,50.04,57,75,3.44,broken clouds
8,Atuona,PF,-9.8,-139.0333,77.09,70,13,10.09,few clouds
9,Port Hedland,AU,-20.3167,118.5667,73.45,100,100,5.75,overcast clouds
10,Northam,GB,51.0333,-4.2167,58.24,84,22,18.77,few clouds
11,Hermanus,ZA,-34.4187,19.2345,51.8,67,59,2.46,broken clouds
12,Taloqan,AF,36.7361,69.5345,69.67,45,41,4.9,scattered clouds
13,Sterling,US,39.0062,-77.4286,88.86,65,75,7.0,broken clouds
14,Puerto Escondido,MX,15.85,-97.0667,89.87,42,100,14.99,overcast clouds
15,Haimen,CN,23.1935,116.6142,75.09,89,22,2.86,few clouds
16,Dingle,PH,10.9995,122.6711,77.63,90,100,3.42,moderate rain
17,New Norfolk,AU,-42.7826,147.0587,44.1,84,8,2.26,clear sky
18,Buzdyak,RU,54.5833,54.55,43.81,95,100,6.96,overcast clouds
19,Port Alfred,ZA,-33.5906,26.891,61.57,74,100,5.48,light rain
20,Lebu,CL,-37.6167,-73.65,54.7,85,82,9.46,broken clouds
21,San Patricio,US,28.017,-97.5169,89.69,47,17,21.83,few clouds
22,Faanui,PF,-16.4833,-151.75,80.78,70,13,10.85,few clouds
23,Vardo,NO,70.3705,31.1107,37.38,75,75,20.71,broken clouds
24,Hasaki,JP,35.7333,140.8333,64.8,77,100,13.49,overcast clouds
25,Pacific Grove,US,36.6177,-121.9166,66.34,73,0,11.01,haze
26,Grand Gaube,MU,-20.0064,57.6608,76.37,70,5,5.99,clear sky
27,Lahad Datu,MY,5.0268,118.327,76.68,91,95,1.52,overcast clouds
28,Canutama,BR,-6.5339,-64.3831,87.58,42,51,0.63,broken clouds
29,Aklavik,CA,68.2191,-135.0107,46.4,53,20,2.3,few clouds
30,Marolambo,MG,-20.05,48.1167,64.04,97,99,0.96,overcast clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,80.56,92,69,3.0,broken clouds
32,Ilhabela,BR,-23.7781,-45.3581,68.47,64,20,5.17,few clouds
